2019/2020,,,,,,,,,
Rnk,Team,seconds,,seconds,,seconds,,seconds,
1,DAL,14.6,22,17.1,20,11.8,26,9.2,27
2,LAC,13.7,5,16.4,7,10.8,7,8.8,17
3,POR,14.4,20,17.3,22,11.1,14,8.4,10
4,BOS,14.4,18,17.7,24,11.0,10,8.3,8
5,DEN,14.9,27,17.8,26,11.8,25,9.1,25
6,HOU,13.2,2,15.5,2,10.7,4,8.2,5
7,MIA,14.6,23,17.2,21,12.0,30,8.6,13
8,MIL,13.1,1,16.1,5,10.3,1,8.4,9
9,UTA,14.8,26,17.6,23,11.7,22,8.5,11
10,LAL,14.0,10,16.7,12,11.0,11,8.9,22
11,PHO,14.1,14,16.8,14,11.1,12,8.1,3
12,SAS,14.1,15,16.9,16,11.1,13,8.2,7
13,TOR,13.9,9,17.1,18,10.7,3,8.1,2
14,PHI,14.8,25,17.7,25,11.9,29,8.2,4
15,NOP,13.4,3,15.4,1,11.0,9,8.8,18
16,WAS,13.7,4,15.9,3,10.8,6,8.8,20
17,OKC,14.3,17,16.9,15,11.5,21,9.6,30
18,IND,14.4,19,17.0,17,11.8,28,8.6,12
19,SAC,14.3,16,16.8,13,11.4,19,9.5,29
20,DET,15.1,28,17.8,28,11.7,23,9.0,24
21,BRK,14.1,12,16.7,10,11.2,16,9.1,26
22,MEM,13.8,7,16.6,9,10.7,5,7.9,1
23,ORL,14.7,24,17.9,29,11.2,15,8.8,19
24,MIN,13.8,6,16.0,4,11.3,17,8.7,14
25,ATL,13.8,8,16.4,6,10.6,2,8.2,6
26,CLE,15.1,29,17.8,27,11.8,27,8.9,23
27,CHO,15.1,30,18.1,30,11.3,18,9.4,28
28,NYK,14.5,21,17.1,19,11.8,24,8.7,16
29,CHI,14.1,11,16.7,11,11.0,8,8.7,15
30,GSW,14.1,13,16.5,8,11.4,20,8.9,21
